country,year,health,economy,energy,education
Albania,1971,67.5,26.8,785.0,0.221
Albania,1972,68.1,26.8,866.0,0.221
Albania,1973,68.7,26.8,763.0,0.221
Albania,1974,69.3,26.8,777.0,0.221
Albania,1975,69.8,26.8,827.0,0.265
Albania,1976,70.3,26.8,891.0,0.265
Albania,1977,70.8,26.8,924.0,0.265
Albania,1978,71.2,26.8,1010.0,0.265
Albania,1979,71.5,26.8,864.0,0.265
Albania,1980,71.7,26.9,1150.0,0.33
Albania,1981,71.8,26.9,989.0,0.33
Albania,1982,72.0,26.9,967.0,0.33
Albania,1983,72.1,26.9,1000.0,0.33
Albania,1984,72.3,26.9,1020.0,0.33
Albania,1985,72.4,26.9,917.0,0.45
Albania,1986,72.6,26.9,964.0,0.45
Albania,1987,72.6,26.9,922.0,0.45
Albania,1988,72.8,26.9,928.0,0.45
Albania,1989,73.1,26.9,896.0,0.45
Albania,1990,73.3,27.0,813.0,0.522
Albania,1991,73.0,27.0,573.0,0.52
Albania,1992,73.4,27.0,418.0,0.52
Albania,1993,73.9,27.0,412.0,0.52
Albania,1994,74.5,27.0,441.0,0.52
Albania,1995,74.6,27.2,417.0,0.533
Albania,1996,74.4,27.5,448.0,0.547
Albania,1997,72.5,28.0,385.0,0.553
Albania,1998,74.5,28.6,427.0,0.567
Albania,1999,74.6,29.4,576.0,0.573
Albania,2000,74.9,30.2,580.0,0.587
Albania,2001,75.2,30.7,597.0,0.58
Albania,2002,75.3,31.0,660.0,0.6
Albania,2003,75.4,31.1,648.0,0.6
Albania,2004,75.6,31.0,715.0,0.607
Albania,2005,76.0,30.7,720.0,0.607
Albania,2006,76.4,30.4,707.0,0.613
Albania,2007,76.9,30.2,680.0,0.613
Albania,2008,77.0,30.0,711.0,0.613
Albania,2009,77.5,29.7,732.0,0.62
Albania,2010,77.6,29.5,729.0,0.62
Albania,2011,77.7,29.3,765.0,0.62
Albania,2012,77.8,29.1,688.0,0.64
Albania,2013,77.9,29.0,801.0,0.647
Albania,2014,77.9,29.0,808.0,0.647
Algeria,1971,58.4,39.9,233.0,0.052
Algeria,1972,58.8,39.9,263.0,0.052
Algeria,1973,59.2,40.0,307.0,0.052
Algeria,1974,59.7,40.0,321.0,0.052
Algeria,1975,60.1,40.0,332.0,0.0787
Algeria,1976,60.6,40.0,369.0,0.0787
Algeria,1977,61.2,40.0,401.0,0.0787
Algeria,1978,61.8,40.0,480.0,0.0787
Algeria,1979,62.5,40.1,590.0,0.0787
Algeria,1980,62.8,40.1,583.0,0.115
Algeria,1981,64.0,40.1,615.0,0.115
Algeria,1982,65.1,40.1,776.0,0.115
Algeria,1983,66.4,40.1,813.0,0.115
Algeria,1984,67.6,40.1,781.0,0.115
Algeria,1985,68.7,40.1,791.0,0.167
Algeria,1986,69.5,40.2,868.0,0.167
Algeria,1987,70.2,40.0,833.0,0.167
Algeria,1988,70.8,39.8,855.0,0.167
Algeria,1989,71.3,39.4,825.0,0.167
Algeria,1990,71.7,38.8,861.0,0.225
Algeria,1991,72.2,38.1,889.0,0.253
Algeria,1992,72.5,37.4,889.0,0.267
Algeria,1993,72.7,36.7,872.0,0.287
Algeria,1994,72.8,36.1,824.0,0.3
Algeria,1995,72.9,35.5,843.0,0.313
